Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Quick Attack,NORMAL,Physical,40,100,30,,User attacks first.,—
Quick Guard,FIGHTING,Status,—,—,15,,Protects the user's team from high-priority moves.,—
Quiver Dance,BUG,Status,—,—,20,,"Raises user's Special Attack, Special Defense and Speed.",—
Rage,NORMAL,Physical,20,100,20,,Raises user's Attack when hit.,—
Rage Powder,BUG,Status,—,—,20,,"Forces attacks to hit user, not team-mates.",—
Rain Dance,WATER,Status,—,—,5,TM18,Makes it rain for 5 turns.,—
Rapid Spin,NORMAL,Physical,20,100,40,,Removes effects of trap moves.,—
Razor Leaf,GRASS,Physical,55,95,25,,High critical hit ratio.,—
Razor Shell,WATER,Physical,75,95,10,,May lower opponent's Defense.,50
Razor Wind,NORMAL,Special,80,100,10,,"Charges on first turn, attacks on second. High critical hit ratio.",—
Recover,NORMAL,Status,—,—,10,,User recovers half its max HP.,—
Recycle,NORMAL,Status,—,—,10,,User's used hold item is restored.,—
Reflect,PSYCHIC,Status,—,—,20,TM33,Halves damage from Physical attacks for 5 turns.,—
Reflect Type,NORMAL,Status,—,—,15,,User becomes the target's type.,—
Refresh,NORMAL,Status,—,—,20,,"Cures paralysis, poison, and burns.",—
Relic Song,NORMAL,Special,75,100,10,,May put the target to sleep.,10
Rest,PSYCHIC,Status,—,—,10,TM44,"User sleeps for 2 turns, but user is fully healed.",—
Retaliate,NORMAL,Physical,70,100,5,,Inflicts double damage if a teammate fainted on the last turn.,—
Return,NORMAL,Physical,—,100,20,TM27,Power increases with higher Friendship.,—
Revelation Dance,NORMAL,Special,90,100,15,,Type changes based on Oricorio's form.,
Revenge,FIGHTING,Physical,60,100,10,,Power increases if user was hit first.,—
Reversal,FIGHTING,Physical,—,100,15,,"The lower the user's HP, the higher the power.",—
Roar,NORMAL,Status,—,—,20,TM05,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Roar of Time,DRAGON,Special,150,90,5,,User must recharge next turn.,—
Rock Blast,ROCK,Physical,25,90,10,,Hits 2-5 times in one turn.,—
Rock Climb,NORMAL,Physical,90,85,20,,May confuse opponent.,20
Rock Polish,ROCK,Status,—,—,20,TM69,Sharply raises user's Speed.,—
Rock Slide,ROCK,Physical,75,90,10,TM80,May cause flinching.,30
Rock Smash,FIGHTING,Physical,40,100,15,,May lower opponent's Defense.,50
Rock Throw,ROCK,Physical,50,90,15,,,—
Rock Tomb,ROCK,Physical,60,95,15,TM39,Lowers opponent's Speed.,100
Rock Wrecker,ROCK,Physical,150,90,5,,User must recharge next turn.,—
Role Play,PSYCHIC,Status,—,—,15,,User copies the opponent's Ability.,—
Rolling Kick,FIGHTING,Physical,60,85,15,,May cause flinching.,30
Rollout,ROCK,Physical,30,90,20,,Doubles in power each turn for 5 turns.,—
Roost,FLYING,Status,—,—,10,TM19,User recovers half of its max HP and loses the Flying type temporarily.,—
Rototiller,GROUND,Status,—,—,10,,Raises Attack and Special Attack of Grass-types.,—
Round,NORMAL,Special,60,100,15,TM48,Power increases if teammates use it in the same turn.,—
Sacred Fire,FIRE,Physical,100,95,5,,May burn opponent.,50
Sacred Sword,FIGHTING,Physical,90,100,20,,Ignores opponent's stat changes.,—
Safeguard,NORMAL,Status,—,—,25,TM20,The user's party is protected from status conditions.,—
Sand Attack,GROUND,Status,—,100,15,,Lowers opponent's Accuracy.,—
Sand Tomb,GROUND,Physical,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
Sandstorm,ROCK,Status,—,—,10,TM37,Creates a sandstorm for 5 turns.,—
Sappy Seed,GRASS,Physical,90,100,15,,Drains HP from opponent each turn.,100
Savage Spin-Out,BUG,—,—,—,1,,Bug type Z-Move.,
Scald,WATER,Special,80,100,15,TM55,May burn opponent.,30
Scary Face,NORMAL,Status,—,100,10,,Sharply lowers opponent's Speed.,—
Scratch,NORMAL,Physical,40,100,35,,,—
Screech,NORMAL,Status,—,85,40,,Sharply lowers opponent's Defense.,—
Searing Shot,FIRE,Special,100,100,5,,May burn opponent.,30
Searing Sunraze Smash,STEEL,Physical,200,—,1,,Solgaleo-exclusive Z-Move.,
Secret Power,NORMAL,Physical,70,100,20,,Effects of the attack vary with the location.,30
Secret Sword,FIGHTING,Special,85,100,10,,"Inflicts damage based on the target's Defense, not Special Defense.",—
Seed Bomb,GRASS,Physical,80,100,15,,,—
Seed Flare,GRASS,Special,120,85,5,,May lower opponent's Special Defense.,40
Seismic Toss,FIGHTING,Physical,—,100,20,,Inflicts damage equal to user's level.,—
Self-Destruct,NORMAL,Physical,200,100,5,,User faints.,—
Shadow Ball,GHOST,Special,80,100,15,TM30,May lower opponent's Special Defense.,20
Shadow Bone,GHOST,Physical,85,100,10,,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.,
Shadow Claw,GHOST,Physical,70,100,15,TM65,High critical hit ratio.,—
Shadow Force,GHOST,Physical,120,100,5,,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Shadow Punch,GHOST,Physical,60,?,20,,Ignores Accuracy and Evasiveness.,—
Shadow Sneak,GHOST,Physical,40,100,30,,User attacks first.,—
Sharpen,NORMAL,Status,—,—,30,,Raises user's Attack.,—
Shattered Psyche,PSYCHIC,—,—,—,1,,Psychic type Z-Move.,
Sheer Cold,ICE,Special,—,—,5,,"One-Hit-KO, if it hits.",—
Shell Smash,NORMAL,Status,—,—,15,,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",—
Shell Trap,FIRE,Special,150,100,5,,Deals more damage to opponent if hit by a Physical move.,
Shift Gear,STEEL,Status,—,—,10,,Raises user's Attack and sharply raises Speed.,—
Shock Wave,ELECTRIC,Special,60,?,20,,Ignores Accuracy and Evasiveness.,—
Shore Up,GROUND,Status,—,—,10,,The user regains up to half of its max HP. It restores more HP in a sandstorm.,
Signal Beam,BUG,Special,75,100,15,,May confuse opponent.,10
Silver Wind,BUG,Special,60,100,5,,May raise all stats of user at once.,10
Simple Beam,NORMAL,Status,—,100,15,,Changes target's ability to Simple.,—
Sing,NORMAL,Status,—,55,15,,Puts opponent to sleep.,100
Sinister Arrow Raid,GHOST,Physical,180,—,1,,Decidueye-exclusive Z-Move.,
Sizzly Slide,FIRE,Physical,90,100,15,,Burns the opponent.,
Sketch,NORMAL,Status,—,—,1,,Permanently copies the opponent's last move.,—
Skill Swap,PSYCHIC,Status,—,—,10,,The user swaps Abilities with the opponent.,—
Skull Bash,NORMAL,Physical,130,100,10,,"Raises Defense on first turn, attacks on second.",100
Sky Attack,FLYING,Physical,140,90,5,,"Charges on first turn, attacks on second. May cause flinching.",30
Sky Drop,FLYING,Physical,60,100,10,TM58,"Takes opponent into the air on first turn, drops them on second turn.",—
Sky Uppercut,FIGHTING,Physical,85,90,15,,"Hits the opponent, even during Fly.",—
Slack Off,NORMAL,Status,—,—,10,,User recovers half its max HP.,—
Slam,NORMAL,Physical,80,75,20,,,—
Slash,NORMAL,Physical,70,100,20,,High critical hit ratio.,—
Sleep Powder,GRASS,Status,—,75,15,,Puts opponent to sleep.,—
Sleep Talk,NORMAL,Status,—,—,10,TM88,User performs one of its own moves while sleeping.,—
Sludge,POISON,Special,65,100,20,,May poison opponent.,30
Sludge Bomb,POISON,Special,90,100,10,TM36,May poison opponent.,30
Sludge Wave,POISON,Special,95,100,10,TM34,May poison opponent.,10
Smack Down,ROCK,Physical,50,100,15,TM23,Makes Flying-type Pokémon vulnerable to Ground moves.,—
Smart Strike,STEEL,Physical,70,—,10,TM67,The user stabs the target with a sharp horn. This attack never misses.,
Smelling Salts,NORMAL,Physical,70,100,10,,"Power doubles if opponent is paralyzed, but cures it.",—
Smog,POISON,Special,30,70,20,,May poison opponent.,40
Smokescreen,NORMAL,Status,—,100,20,,Lowers opponent's Accuracy.,—
Snarl,DARK,Special,55,95,15,TM95,Lowers opponent's Special Attack.,100
Snatch,DARK,Status,—,—,10,,Steals the effects of the opponent's next move.,—
Snore,NORMAL,Special,50,100,15,,Can only be used if asleep. May cause flinching.,30
Soak,WATER,Status,—,100,20,,Changes the target's type to water.,—
Soft-Boiled,NORMAL,Status,—,—,10,,User recovers half its max HP.,—
Solar Beam,GRASS,Special,120,100,10,TM22,"Charges on first turn, attacks on second.",—
Solar Blade,GRASS,Physical,125,100,10,,"Charges on first turn, attacks on second.",
Sonic Boom,NORMAL,Special,—,90,20,,Always inflicts 20 HP.,—
Soul-Stealing 7-Star Strike,GHOST,Physical,195,—,1,,Marshadow-exclusive Z-Move.,
Spacial Rend,DRAGON,Special,100,95,5,,High critical hit ratio.,—
Spark,ELECTRIC,Physical,65,100,20,,May paralyze opponent.,30
Sparkling Aria,WATER,Special,90,100,10,,Heals the burns of its target.,
Sparkly Swirl,FAIRY,Special,90,100,15,,Cures all status problems in the party Pokémon.,
Spectral Thief,GHOST,Physical,90,100,10,,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",
Speed Swap,PSYCHIC,Status,—,—,10,,The user exchanges Speed stats with the target.,
Spider Web,BUG,Status,—,—,10,,Opponent cannot escape/switch.,—
Spike Cannon,NORMAL,Physical,20,100,15,,Hits 2-5 times in one turn.,—
Spikes,GROUND,Status,—,—,20,,Hurts opponents when they switch into battle.,—
Spiky Shield,GRASS,Status,—,—,10,,Protects the user and inflicts damage on contact.,—
Spirit Shackle,GHOST,Physical,80,100,10,,Prevents the opponent switching out.,
Spit Up,NORMAL,Special,—,100,10,,Power depends on how many times the user performed Stockpile.,—
Spite,GHOST,Status,—,100,10,,The opponent's last move loses 2-5 PP.,—
Splash,NORMAL,Status,—,—,40,,Doesn't do ANYTHING.,—
Splintered Stormshards,ROCK,Physical,190,—,1,,Lycanroc-exclusive Z-Move.,
Splishy Splash,WATER,Special,90,100,15,,May paralyze opponent.,30
Spore,GRASS,Status,—,100,15,,Puts opponent to sleep.,100
Spotlight,NORMAL,Status,—,—,15,,The user shines a spotlight on the target so that only the target will be attacked during the turn.,
Stealth Rock,ROCK,Status,—,—,20,,Damages opponent switching into battle.,—
Steam Eruption,WATER,Special,110,95,5,,May burn opponent.,30
Steamroller,BUG,Physical,65,100,20,,May cause flinching.,30
Steel Wing,STEEL,Physical,70,90,25,TM51,May raise user's Defense.,10
Sticky Web,BUG,Status,—,—,20,,Lowers opponent's Speed when switching into battle.,—
Stockpile,NORMAL,Status,—,—,20,,Stores energy for use with Spit Up and Swallow.,—
Stoked Sparksurfer,ELECTRIC,Special,175,—,1,,Alolan Raichu-exclusive Electric type Z-Move.,
Stomp,NORMAL,Physical,65,100,20,,May cause flinching.,30
Stomping Tantrum,GROUND,Physical,75,100,10,,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",
Stone Edge,ROCK,Physical,100,80,5,TM71,High critical hit ratio.,—
Stored Power,PSYCHIC,Special,20,100,10,,Power increases when user's stats have been raised.,—
Storm Throw,FIGHTING,Physical,60,100,10,,Always results in a critical hit.,—
Strength,NORMAL,Physical,80,100,15,,,—
Strength Sap,GRASS,Status,—,100,10,,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,
String Shot,BUG,Status,—,95,40,,Sharply lowers opponent's Speed.,—
Struggle,NORMAL,Physical,50,100,—,,Only usable when all PP are gone. Hurts the user.,—
Struggle Bug,BUG,Special,50,100,20,,Lowers opponent's Special Attack.,100
Stun Spore,GRASS,Status,—,75,30,,Paralyzes opponent.,—
Submission,FIGHTING,Physical,80,80,20,,User receives recoil damage.,—
Substitute,NORMAL,Status,—,—,10,TM90,Uses HP to creates a decoy that takes hits.,—
Subzero Slammer,ICE,—,—,—,1,,Ice type Z-Move.,
Sucker Punch,DARK,Physical,70,100,5,,"User attacks first, but only works if opponent is readying an attack.",—
Sunny Day,FIRE,Status,—,—,5,TM11,Makes it sunny for 5 turns.,—
Sunsteel Strike,STEEL,Physical,100,100,5,,Ignores the target's ability.,
Super Fang,NORMAL,Physical,—,90,10,,Always takes off half of the opponent's HP.,—
Superpower,FIGHTING,Physical,120,100,5,,Lowers user's Attack and Defense.,—
Supersonic,NORMAL,Status,—,55,20,,Confuses opponent.,—
Supersonic Skystrike,FLYING,—,—,—,1,,Flying type Z-Move.,
Surf,WATER,Special,90,100,15,TM94,Hits all adjacent Pokémon.,—
Swagger,NORMAL,Status,—,85,15,TM87,"Opponent becomes confused, but its Attack is sharply raised.",—
Swallow,NORMAL,Status,—,—,10,,"The more times the user has performed Stockpile, the more HP is recovered.",—
Sweet Kiss,FAIRY,Status,—,75,10,,Confuses opponent.,—
Sweet Scent,NORMAL,Status,—,—,20,,Lowers opponent's Evasiveness.,—
Swift,NORMAL,Special,60,?,20,,Ignores Accuracy and Evasiveness.,—
Switcheroo,DARK,Status,—,100,15,,Swaps held items with the opponent.,—
Swords Dance,NORMAL,Status,—,—,20,TM75,Sharply raises user's Attack.,—
Synchronoise,PSYCHIC,Special,120,100,15,,Hits any Pokémon that shares a type with the user.,—
Synthesis,GRASS,Status,—,—,5,,User recovers HP. Amount varies with the weather.,—
Tackle,NORMAL,Physical,40,100,35,,,—
Tail Glow,BUG,Status,—,—,20,,Drastically raises user's Special Attack.,—
Tail Slap,NORMAL,Physical,25,85,10,,Hits 2-5 times in one turn.,—
Tail Whip,NORMAL,Status,—,100,30,,Lowers opponent's Defense.,—
Tailwind,FLYING,Status,—,—,30,,Doubles Speed for 4 turns.,—
Take Down,NORMAL,Physical,90,85,20,,User receives recoil damage.,—
Taunt,DARK,Status,—,100,20,TM12,Opponent can only use moves that attack.,—
Tearful Look,NORMAL,Status,—,—,20,,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,
Techno Blast,NORMAL,Special,120,100,5,,Type depends on the Drive being held.,—
Tectonic Rage,GROUND,—,—,—,1,,Ground type Z-Move.,
Teeter Dance,NORMAL,Status,—,100,20,,Confuses all Pokémon.,—
Telekinesis,PSYCHIC,Status,—,—,15,,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",—
Teleport,PSYCHIC,Status,—,—,20,,Allows user to flee wild battles; also warps player to last PokéCenter.,—
Thief,DARK,Physical,60,100,25,TM46,Also steals opponent's held item.,—
Thousand Arrows,GROUND,Physical,90,100,10,,Makes Flying-type Pokémon vulnerable to Ground moves.,—
Thousand Waves,GROUND,Physical,90,100,10,,Opponent cannot flee or switch.,—
Thrash,NORMAL,Physical,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
Throat Chop,DARK,Physical,80,100,15,,Prevents use of sound moves for two turns.,
Thunder,ELECTRIC,Special,110,70,10,TM25,May paralyze opponent.,30
Thunder Fang,ELECTRIC,Physical,65,95,15,,May cause flinching and/or paralyze opponent.,10
Thunder Punch,ELECTRIC,Physical,75,100,15,,May paralyze opponent.,10
Thunder Shock,ELECTRIC,Special,40,100,30,,May paralyze opponent.,10
Thunder Wave,ELECTRIC,Status,—,90,20,TM73,Paralyzes opponent.,100
Thunderbolt,ELECTRIC,Special,90,100,15,TM24,May paralyze opponent.,10
Tickle,NORMAL,Status,—,100,20,,Lowers opponent's Attack and Defense.,—
Topsy-Turvy,DARK,Status,—,—,20,,Reverses stat changes of opponent.,—
Torment,DARK,Status,—,100,15,TM41,Opponent cannot use the same move in a row.,—
Toxic,POISON,Status,—,90,10,TM06,Badly poisons opponent.,—
Toxic Spikes,POISON,Status,—,—,20,,Poisons opponents when they switch into battle.,—
Toxic Thread,POISON,Status,—,100,20,,The user shoots poisonous threads to poison the target and lower the target's Speed stat.,
Transform,NORMAL,Status,—,—,10,,User takes on the form and attacks of the opponent.,—
Tri Attack,NORMAL,Special,80,100,10,,"May paralyze, burn or freeze opponent.",20
Trick,PSYCHIC,Status,—,100,10,,Swaps held items with the opponent.,—
Trick Room,PSYCHIC,Status,—,—,5,TM92,Slower Pokémon move first in the turn for 5 turns.,—
Trick-or-Treat,GHOST,Status,—,100,20,,Adds Ghost type to opponent.,—
Triple Kick,FIGHTING,Physical,10,90,10,,Hits thrice in one turn at increasing power.,—
Trop Kick,GRASS,Physical,70,100,15,,Lowers opponent's Attack.,
Trump Card,NORMAL,Special,—,?,5,,"The lower the PP, the higher the power.",—
Twineedle,BUG,Physical,25,100,20,,Hits twice in one turn. May poison opponent.,20
Twinkle Tackle,FAIRY,—,—,—,1,,Fairy type Z-Move.,
Twister,DRAGON,Special,40,100,20,,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U-turn,BUG,Physical,70,100,20,TM89,User switches out immediately after attacking.,—
Uproar,NORMAL,Special,90,100,10,,User attacks for 3 turns and prevents sleep.,—
V-create,FIRE,Physical,180,95,5,,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,FIGHTING,Special,40,100,30,,User attacks first.,—
Veevee Volley,NORMAL,Physical,—,?,20,,Power increases when player's bond is stronger.,
Venom Drench,POISON,Status,—,100,20,,Lowers poisoned opponent's Special Attack and Speed.,—
Venoshock,POISON,Special,65,100,10,TM09,Inflicts double damage if the target is poisoned.,—
Vice Grip,NORMAL,Physical,55,100,30,,,—
Vine Whip,GRASS,Physical,45,100,25,,,—
Vital Throw,FIGHTING,Physical,70,?,10,,"User attacks last, but ignores Accuracy and Evasiveness.",—
Volt Switch,ELECTRIC,Special,70,100,20,TM72,User must switch out after attacking.,—
Volt Tackle,ELECTRIC,Physical,120,100,15,,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,FIGHTING,Physical,70,100,10,,"Power doubles if opponent is asleep, but wakes it up.",—
Water Gun,WATER,Special,40,100,25,,,—
Water Pledge,WATER,Special,80,100,10,,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,—
Water Pulse,WATER,Special,60,100,20,,May confuse opponent.,20
Water Shuriken,WATER,Special,15,100,20,,Hits 2-5 times in one turn.,—
Water Sport,WATER,Status,—,—,15,,Weakens the power of Fire-type moves.,—
Water Spout,WATER,Special,150,100,5,,"The higher the user's HP, the higher the damage caused.",—
Waterfall,WATER,Physical,80,100,15,TM98,May cause flinching.,20
Weather Ball,NORMAL,Special,50,100,10,,Move's power and type changes with the weather.,—
Whirlpool,WATER,Special,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
Whirlwind,NORMAL,Status,—,—,20,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Wide Guard,ROCK,Status,—,—,10,,Protects the user's team from multi-target attacks.,—
Wild Charge,ELECTRIC,Physical,90,100,15,TM93,User receives recoil damage.,—
Will-O-Wisp,FIRE,Status,—,85,15,TM61,Burns opponent.,100
Wing Attack,FLYING,Physical,60,100,35,,,—
Wish,NORMAL,Status,—,—,10,,The user recovers HP in the following turn.,—
Withdraw,WATER,Status,—,—,40,,Raises user's Defense.,—
Wonder Room,PSYCHIC,Status,—,—,10,,Swaps every Pokémon's Defense and Special Defense for 5 turns.,—
Wood Hammer,GRASS,Physical,120,100,15,,User receives recoil damage.,—
Work Up,NORMAL,Status,—,—,30,TM01,Raises user's Attack and Special Attack.,—
Worry Seed,GRASS,Status,—,100,10,,Changes the opponent's Ability to Insomnia.,—
Wrap,NORMAL,Physical,15,90,20,,"Traps opponent, damaging them for 4-5 turns.",—
Wring Out,NORMAL,Special,—,100,5,,"The higher the opponent's HP, the higher the damage.",—
X-Scissor,BUG,Physical,80,100,15,TM81,,—
Yawn,NORMAL,Status,—,—,10,,Puts opponent to sleep in the next turn.,—
Zap Cannon,ELECTRIC,Special,120,50,5,,Paralyzes opponent.,100
Zen Headbutt,PSYCHIC,Physical,80,90,15,,May cause flinching.,20
Zing Zap,ELECTRIC,Physical,80,100,10,,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",
Zippy Zap,ELECTRIC,Physical,50,100,15,,High critical-hit ratio.,
